shape_name,original_volume_mm3
MOTION001_left,284641.00944392174
MOTION001_right,279887.2311221938
MOTION002_left,261035.01960678864
MOTION002_right,260088.89070994337
MOTION003_left,122590.549109836
MOTION003_right,116601.65824279907
MOTION004_left,207783.33862558764
MOTION004_right,241888.2633122433
MOTION005_left,100669.80024320698
MOTION005_right,94043.2874588319
MOTION006_left,142834.6515953296
MOTION006_right,160623.8890532063
MOTION007_left,262735.7762149405
MOTION007_right,270466.8827685524
MOTION008_left,281017.2842973186
MOTION008_right,274449.7406921981
MOTION009_left,178392.29379193517
MOTION009_right,176305.62774829767
MOTION010_left,148362.86474813477
MOTION010_right,147761.64335294967
MOTION011_left,190162.92982895466
MOTION011_right,185333.03120421292
MOTION012_left,243951.0577617949
MOTION012_right,248908.15237759464
MOTION013_left,212808.62936304868
MOTION013_right,226832.43945463627
MOTION014_left,174289.6093754603
MOTION014_right,158019.89948401094
MOTION015_left,200041.9661317113
MOTION015_right,186470.21397356677
MOTION016_left,213890.78297398597
MOTION016_right,211564.33151985426
MOTION017_left,125213.91815862444
MOTION017_right,124337.7897554591
MOTION018_left,174198.4283507358
MOTION018_right,204861.07916998563
MOTION019_left,153376.45237760362
MOTION019_right,165264.55689245719
MOTION020_left,196132.42271894577
MOTION020_right,200825.39134155444
MOTION021_left,245793.4880814485
MOTION021_right,238167.19054742347
MOTION022_left,220260.50417685884
MOTION022_right,240044.90405398895
MOTION023_left,219249.0652105841
MOTION023_right,246774.7215276887
MOTION024_left,254736.44689442278
MOTION024_right,274652.1535168549
MOTION025_left,158461.30407248376
MOTION025_right,161091.65945922324
MOTION026_left,219650.8936544838
MOTION026_right,214222.17716731527
MOTION027_left,279130.59654849063
MOTION027_right,302027.3974488953
MOTION028_left,185810.78202554
MOTION028_right,186655.6551546975
MOTION029_left,181459.23715164882
MOTION029_right,165988.72163166828
MOTION030_left,194949.49240581263
MOTION030_right,204474.5990470947
MOTION031_left,124866.93542284139
