shape_name,original_volume_mm3
MOTION001_left,125516.75903593989
MOTION001_right,157795.8779796732
MOTION002_left,117239.04588106969
MOTION002_right,115530.15645485744
MOTION003_left,78400.99325768108
MOTION003_right,75289.66781358432
MOTION004_left,100193.19176089625
MOTION004_right,112508.14748964882
MOTION005_left,31618.959565202676
MOTION005_right,34801.13009874151
MOTION006_left,119000.17228467557
MOTION006_right,104481.04344344557
MOTION007_left,91804.02690724206
MOTION007_right,106507.85931958882
MOTION008_left,122673.8786929897
MOTION008_right,113310.6772361904
MOTION009_left,84573.05474910606
MOTION009_right,95247.27238793083
MOTION010_left,51985.3130005997
MOTION010_right,56055.24228411957
MOTION011_left,60394.43842728343
MOTION011_right,64992.95522957321
MOTION012_left,121543.18140293709
MOTION012_right,123260.08341724779
MOTION013_left,150046.77837964534
MOTION013_right,133766.78442452406
MOTION014_left,82986.47058691703
MOTION014_right,81197.4349869608
MOTION015_left,78568.42756983622
MOTION015_right,70729.45395091565
MOTION016_left,103216.55192795912
MOTION016_right,118177.11803673524
MOTION017_left,71207.26029313453
MOTION017_right,72578.34675870588
MOTION018_left,78116.64269038026
MOTION018_right,72871.03488125623
MOTION019_left,66880.44638728717
MOTION019_right,90594.7153757025
MOTION020_left,66763.25051407167
MOTION020_right,68841.31544998757
MOTION021_left,105280.42230798182
MOTION021_right,122053.96042258728
MOTION022_left,80252.15110239916
MOTION022_right,79644.92813479001
MOTION023_left,94921.3423561707
MOTION023_right,97914.79703879799
MOTION024_left,94102.19369370736
MOTION024_right,106271.12566659447
MOTION025_left,83977.74453928668
MOTION025_right,86736.8311852859
MOTION026_left,63344.21867185539
MOTION026_right,74589.25051310014
MOTION027_left,95263.99429810763
MOTION027_right,112148.62045196471
MOTION028_left,71185.18772451537
MOTION028_right,85748.7017668488
MOTION029_left,51359.407970377484
MOTION029_right,54421.62071213711
MOTION030_left,57933.18469106427
MOTION030_right,79926.21000527959
MOTION031_left,69532.89465533923
MOTION031_right,79317.17108570301
MOTION032_left,81885.23761476704
MOTION032_right,75710.71225359588
MOTION033_left,82769.5330436375
MOTION033_right,75639.79477058156
MOTION034_left,76656.39630224487
MOTION034_right,75183.69383443006
MOTION035_left,110096.25479617373
MOTION035_right,100934.28731640828
MOTION036_left,69287.94729861704
MOTION036_right,63370.7403209393
MOTION037_left,54381.47272087637
MOTION037_right,66553.09313443906
MOTION038_left,92555.56937191797
MOTION038_right,82967.96239491172
MOTION039_left,77387.86027892154
MOTION039_right,71031.87209815528
MOTION040_left,99309.82519125509
MOTION040_right,115237.29139606391
MOTION041_left,88778.01791585582
MOTION041_right,99725.81706706807
MOTION042_left,60935.02653929346
MOTION042_right,48740.94610866097
MOTION043_left,76158.5755644155
MOTION043_right,82627.00294261028
MOTION044_left,50987.26074112486
MOTION044_right,51735.71691588021
MOTION045_left,64439.61777903541
MOTION045_right,70712.21231003306
MOTION046_left,89646.66250340092
