shape_name,original_volume_mm3
MOTION001_left,376226.6582576111
MOTION001_right,363177.04679990263
MOTION002_left,250319.37708283335
MOTION002_right,243730.19674241284
MOTION003_left,210836.8404637274
MOTION003_right,215897.20151709102
MOTION004_left,325875.27407458954
MOTION004_right,333208.43263156427
MOTION005_left,124336.91929254746
MOTION005_right,126816.2711259121
MOTION006_left,196757.50619248525
MOTION006_right,196244.34053023765
MOTION007_left,234106.081632796
MOTION007_right,246321.6041468481
MOTION008_left,254073.33643687688
MOTION008_right,252796.9106724488
MOTION009_left,219084.1927304842
MOTION009_right,205250.47664438622
MOTION010_left,164520.06035086772
MOTION010_right,153458.20632920327
MOTION011_left,174281.3072757099
MOTION011_right,164320.30324587174
MOTION012_left,281660.31625229976
MOTION012_right,273613.7382394375
MOTION013_left,251659.25421800604
MOTION013_right,267334.3678762814
MOTION014_left,186138.28019231185
MOTION014_right,177598.65386047747
MOTION015_left,277248.5635925365
MOTION015_right,292199.7769736866
MOTION016_left,259624.143909495
MOTION016_right,282322.70438216283
MOTION017_left,191528.2445064621
MOTION017_right,205211.225584715
MOTION018_left,173815.33213655654
MOTION018_right,185788.89241944152
MOTION019_left,184664.2284695698
MOTION019_right,196257.43147238204
MOTION020_left,238159.395067558
MOTION020_right,219412.06098250227
MOTION021_left,308186.3088162322
MOTION021_right,328435.22087235603
MOTION022_left,221036.82901526502
MOTION022_right,238591.98975247578
MOTION023_left,197362.3723949302
MOTION023_right,196982.1371328507
MOTION024_left,329245.72428043437
MOTION024_right,340875.4248200396
MOTION025_left,207571.47362191186
MOTION025_right,207708.36421874166
MOTION026_left,251029.06279601064
MOTION026_right,265091.8231231244
MOTION027_left,332160.6012803171
MOTION027_right,357066.12303217733
MOTION028_left,299544.1681918051
MOTION028_right,293393.0188308057
MOTION029_left,163185.245550295
MOTION029_right,173142.08750109957
MOTION030_left,279096.5471084989
MOTION030_right,280823.4322311832
MOTION031_left,131980.3190994493
MOTION031_right,139201.5436095161
MOTION032_left,189630.09805813222
MOTION032_right,194744.74247720794
MOTION033_left,292985.5615679671
MOTION033_right,300441.7588876591
MOTION034_left,146955.82548217612
MOTION034_right,138215.7370153851
MOTION035_left,265947.60024333623
MOTION035_right,268898.18157437304
MOTION036_left,191182.0385312386
MOTION036_right,200628.8227615445
MOTION037_left,158532.44962643486
MOTION037_right,191346.83355440674
MOTION038_left,226948.07774015094
MOTION038_right,240629.5419388574
MOTION039_left,157848.2617185186
MOTION039_right,160882.82331063645
MOTION040_left,285635.5578560336
MOTION040_right,306099.120713105
MOTION041_left,174973.20954395513
MOTION041_right,180036.45409260737
MOTION042_left,241422.4386563487
MOTION042_right,208094.3354731216
MOTION043_left,168303.78398776622
MOTION043_right,162071.58994678172
MOTION044_left,131277.46110132124
MOTION044_right,133937.64483533145
MOTION045_left,160704.32801149855
MOTION045_right,168440.73137917867
MOTION046_left,219405.01983567144
MOTION046_right,226403.27389537194
MOTION047_left,166609.36099998545
MOTION047_right,171810.91051505125
MOTION048_left,229132.2572966644
MOTION048_right,235818.75138109154
MOTION049_left,262434.2082113875
MOTION049_right,249952.27089888082
