shape_name,original_volume_mm3
MOTION001_left,404640.7401561023
MOTION001_right,409625.95561023644
MOTION002_left,212656.31038302334
MOTION002_right,243498.03667507818
MOTION003_left,177220.6624532377
MOTION003_right,167424.37374577284
MOTION004_left,210863.36402134667
MOTION004_right,233427.18798887497
MOTION005_left,116879.49706221114
MOTION005_right,132555.48530664964
MOTION006_left,226741.40752580584
MOTION006_right,222277.19610077413
MOTION007_left,255037.68222883902
MOTION007_right,292011.48364165024
MOTION008_left,225937.98957953067
MOTION008_right,243720.28994829007
MOTION009_left,162442.95125769763
MOTION009_right,180596.12728372772
MOTION010_left,161981.46479164716
MOTION010_right,173588.38227620718
MOTION011_left,173710.8583108636
MOTION011_right,211854.54122158303
MOTION012_left,229726.38443133156
MOTION012_right,221555.2011484572
MOTION013_left,263379.52807824087
MOTION013_right,227363.22393172825
MOTION014_left,202118.21262843042
MOTION014_right,182216.57246442538
MOTION015_left,252530.0026997038
MOTION015_right,264030.323716544
MOTION016_left,281477.5463202091
MOTION016_right,281955.997557398
MOTION017_left,137153.0550026058
MOTION017_right,152130.82673666903
MOTION018_left,212691.93161347648
MOTION018_right,219624.86453297408
MOTION019_left,198684.08118056168
MOTION019_right,182305.456659787
MOTION020_left,202627.26407193518
MOTION020_right,199042.70760653276
MOTION021_left,272519.42537689494
MOTION021_right,290808.8047222234
MOTION022_left,223712.00979052437
MOTION022_right,238716.74250633203
MOTION023_left,240824.18189712323
MOTION023_right,259108.46219407566
MOTION024_left,352345.56079002464
MOTION024_right,332270.13885675994
MOTION025_left,174195.52464800113
MOTION025_right,181975.5458853282
MOTION026_left,274683.8442386762
MOTION026_right,267000.8106571138
MOTION027_left,274414.194454762
MOTION027_right,291055.23966331285
MOTION028_left,227773.3030442954
MOTION028_right,249536.42766858672
MOTION029_left,203114.20344967002
MOTION029_right,211075.3593406089
MOTION030_left,169297.95558720108
MOTION030_right,206985.94205639683
MOTION031_left,121917.67259976886
MOTION031_right,117298.15803534737
MOTION032_left,266782.7518116807
MOTION032_right,254917.80536274993
MOTION033_left,347054.1742823488
MOTION033_right,324096.5010912789
MOTION034_left,195049.37713177165
MOTION034_right,211583.74127377276
MOTION035_left,205080.18178102377
MOTION035_right,183007.10414972343
MOTION036_left,134998.4439850948
MOTION036_right,133148.07785848386
MOTION037_left,141486.5197995143
MOTION037_right,178770.6366630888
MOTION038_left,232613.9256986452
MOTION038_right,238878.61777349343
MOTION039_left,166077.14032073415
MOTION039_right,164252.92980417286
MOTION040_left,311498.8776185362
MOTION040_right,299773.0563351317
MOTION041_left,170351.87751270572
MOTION041_right,148634.16477997202
MOTION042_left,203709.9789310262
MOTION042_right,202998.28494601627
MOTION043_left,197944.48652758505
MOTION043_right,187251.6430463858
MOTION044_left,132998.77294308736
MOTION044_right,125551.78134521625
MOTION045_left,161714.07816743478
MOTION045_right,164246.7716853838
MOTION046_left,176204.00733544587
MOTION046_right,181951.4656104209
MOTION047_left,175747.18244037408
MOTION047_right,168267.31588946175
MOTION048_left,235280.49072296158
MOTION048_right,249506.02753299873
MOTION049_left,225414.3065514776
MOTION049_right,248466.36517958072
MOTION050_left,327851.8445617829
MOTION050_right,340638.4284176936
MOTION051_left,211833.24816203504
MOTION051_right,241619.23884018612
MOTION052_left,272588.36489771114
MOTION052_right,261402.53330608652
MOTION053_left,163042.55984730972
MOTION053_right,158947.81760426032
MOTION054_left,259847.8843498916
MOTION054_right,263620.6435696691
MOTION055_left,158453.9105945862
MOTION055_right,162663.5669634546
MOTION056_left,296473.3390211929
MOTION056_right,298717.2691778955
MOTION057_left,145524.5828130288
MOTION057_right,156833.09481821678
MOTION058_left,226989.292768294
MOTION058_right,237259.60971469583
MOTION059_left,223972.43496307978
MOTION059_right,258107.61442838865
MOTION060_left,201899.01565791297
MOTION060_right,227161.8750009928
MOTION061_left,237233.531764717
MOTION061_right,261553.53756557868
MOTION062_left,264296.2721134903
MOTION062_right,272190.63156644977
MOTION063_left,441737.1473218913
MOTION063_right,407223.43633821927
MOTION064_left,229892.37664535243
MOTION064_right,252383.43426857726
MOTION065_left,265114.63005979854
MOTION065_right,255397.82757584998
MOTION066_left,237753.19315015824
MOTION066_right,209888.45124930903
MOTION067_left,209844.3115641046
MOTION067_right,223882.47808641198
MOTION068_left,270367.2984033863
MOTION068_right,284980.11250529514
MOTION069_left,164740.06541724192
MOTION069_right,165001.55291651373
MOTION070_left,200334.38929451737
MOTION070_right,189436.53905169226
MOTION071_left,155805.87804659852
MOTION071_right,152530.72137314946
MOTION072_left,191184.78962416772
MOTION072_right,215219.68840475855
MOTION073_left,305025.6601247243
MOTION073_right,284603.8123619529
MOTION074_left,148531.34998866887
MOTION074_right,185628.74727677452
MOTION075_left,257177.84906568655
MOTION075_right,281800.9146451175
MOTION076_left,178478.0403233201
MOTION076_right,168783.43548626613
MOTION077_left,245785.06637355158
MOTION077_right,237024.24412990417
MOTION078_left,395734.02234469913
MOTION078_right,380780.08036623575
MOTION079_left,255862.0364193242
MOTION079_right,266409.58534816414
MOTION080_left,245206.86136097225
MOTION080_right,239307.8341969334
MOTION081_left,392562.24476076366
MOTION081_right,358214.9527308555
MOTION082_left,218409.1918204316
MOTION082_right,238440.22357844553
MOTION083_left,273351.1717749878
MOTION083_right,271278.7440315481
MOTION084_left,314929.1032293082
MOTION084_right,297618.56983768806
MOTION085_left,285727.62644020934
MOTION085_right,303949.6722583562
MOTION086_left,231133.00960072383
MOTION086_right,245999.51706128367
MOTION087_left,164811.25368709225
MOTION087_right,187881.49226897975
MOTION088_left,146010.8329618288
MOTION088_right,139991.4051800869
MOTION089_left,312008.99038528866
MOTION089_right,339277.579214815
MOTION090_left,184788.3291233677
MOTION090_right,153990.37305449092
MOTION091_left,190346.081376538
MOTION091_right,220724.8319792956
MOTION092_left,175342.33673902877
MOTION092_right,191790.08884790624
MOTION093_left,230484.55255396361
MOTION093_right,231270.501669029
MOTION094_left,248938.65562436296
MOTION094_right,238471.83938699658
MOTION095_left,215917.66757109886
MOTION095_right,233267.52769751623
MOTION096_left,342387.89640737936
MOTION096_right,358845.59450646763
MOTION097_left,278933.87913698837
MOTION097_right,278846.34689384006
MOTION098_left,138541.9766129316
MOTION098_right,160791.10629384912
MOTION099_left,293352.8456344511
MOTION099_right,269065.97775281384
MOTION100_left,167106.41633141754
MOTION100_right,161966.17779169927
MOTION101_left,267231.0240661798
MOTION101_right,263680.15091098496
