shape_name,original_volume_mm3
MOTION001_left,187651.7665688698
MOTION001_right,182868.9399101882
MOTION002_left,138890.59411832123
MOTION002_right,153129.68062735777
MOTION003_left,113172.29786105973
MOTION003_right,110019.03107183392
MOTION004_left,284236.0600182404
MOTION004_right,217362.07005152004
MOTION005_left,80835.83312124628
MOTION005_right,85614.8896686823
MOTION006_left,174737.21506577035
MOTION006_right,173116.58831204686
MOTION007_left,201453.8837863214
MOTION007_right,207656.21430730438
MOTION008_left,170140.2206463641
MOTION008_right,184756.99797935307
MOTION009_left,117135.93992758356
MOTION009_right,115882.45889487963
MOTION010_left,81607.38950245421
MOTION010_right,71470.06884734235
MOTION011_left,130030.68634286185
MOTION011_right,121643.82512622459
MOTION012_left,184544.22475668477
MOTION012_right,159055.87724801776
MOTION013_left,144807.71209328462
MOTION013_right,152208.98772562726
MOTION014_left,143383.99591092407
MOTION014_right,142877.93160503887
MOTION015_left,159378.94185680666
MOTION015_right,170042.7723086862
MOTION016_left,180778.4802270451
MOTION016_right,197733.36853273318
MOTION017_left,122886.24265314116
MOTION017_right,132015.49809885616
MOTION018_left,136997.28800106107
MOTION018_right,124486.92697953351
MOTION019_left,133358.6266721647
MOTION019_right,146292.3809989059
MOTION020_left,131202.7969995897
MOTION020_right,143186.35626435713
MOTION021_left,313917.61058531323
MOTION021_right,263602.85421710025
MOTION022_left,223346.3284610525
MOTION022_right,246101.51759788545
MOTION023_left,140550.30774992472
MOTION023_right,151663.42713575487
MOTION024_left,221979.12245988823
MOTION024_right,230675.3963281934
MOTION025_left,97060.63129548152
MOTION025_right,109760.09190966695
MOTION026_left,189991.5528439984
MOTION026_right,221992.22573998585
MOTION027_left,200579.30156179742
MOTION027_right,202709.01590516607
MOTION028_left,161655.2913349691
MOTION028_right,157784.88606717842
MOTION029_left,79114.41811584293
MOTION029_right,84113.95524468129
MOTION030_left,164251.80207558526
MOTION030_right,175515.17429662382
MOTION031_left,58992.57398020439
MOTION031_right,63535.68974857353
MOTION032_left,128671.99592656981
MOTION032_right,129336.02108554532
MOTION033_left,150484.74216493344
MOTION033_right,138668.07313636845
MOTION034_left,129087.74586631487
MOTION034_right,138710.28607746883
MOTION035_left,133146.18511957102
MOTION035_right,157224.432498651
MOTION036_left,139563.3501631304
MOTION036_right,145502.32616857052
MOTION037_left,150167.8846223042
MOTION037_right,170144.90496835543
MOTION038_left,168355.02148036496
MOTION038_right,177362.57356799408
MOTION039_left,147414.4392544139
MOTION039_right,158691.75667855886
MOTION040_left,173955.69915782622
MOTION040_right,175699.9927151713
MOTION041_left,123837.69280455004
MOTION041_right,142890.48509407722
MOTION042_left,123626.4788273605
MOTION042_right,107014.02458399236
MOTION043_left,144841.48755269308
MOTION043_right,132963.60645166584
MOTION044_left,89980.26438607571
MOTION044_right,84154.13113343916
MOTION045_left,122353.00690619736
MOTION045_right,124738.65986498637
MOTION046_left,194520.9525226866
MOTION046_right,202075.5341394272
MOTION047_left,98554.62206547859
MOTION047_right,97091.72745313775
MOTION048_left,153664.43475961688
MOTION048_right,146568.45523656605
MOTION049_left,166178.19698293423
MOTION049_right,164534.26030371198
MOTION050_left,246212.0582227665
MOTION050_right,251281.80059891124
MOTION051_left,175313.45852864694
MOTION051_right,200729.82579827806
MOTION052_left,195977.00867960986
MOTION052_right,186882.19480798522
MOTION053_left,194116.2106197762
MOTION053_right,174753.3248838488
MOTION054_left,226239.7605410229
MOTION054_right,229365.05079556114
MOTION055_left,123711.67246806466
MOTION055_right,126266.03237947814
MOTION056_left,240922.0821019302
