shape_name,original_volume_mm3
MOTION001_left,623611.7466580613
MOTION001_right,601823.062875962
MOTION002_left,769943.4462775685
MOTION002_right,656636.2595410187
MOTION003_left,306414.2910917492
MOTION003_right,328196.7410786472
MOTION004_left,595982.8190924468
MOTION004_right,574624.95933509
MOTION005_left,252134.68735072188
MOTION005_right,210672.80021278103
MOTION006_left,494497.08714991267
MOTION006_right,498961.4056478981
MOTION007_left,625566.0570691973
MOTION007_right,635263.7941259792
MOTION008_left,630756.0106213301
MOTION008_right,585134.4014491896
MOTION009_left,548130.4823782026
MOTION009_right,531494.3523192871
MOTION010_left,301977.1708440093
MOTION010_right,303362.1421667797
MOTION011_left,494641.91361976694
MOTION011_right,476447.3052699738
MOTION012_left,558529.6782587665
MOTION012_right,445366.4179891017
MOTION013_left,531843.9020097965
MOTION013_right,457108.1523218888
MOTION014_left,383063.12091962126
MOTION014_right,371558.11519414815
MOTION015_left,533328.1093522143
MOTION015_right,492477.0815868673
MOTION016_left,521371.8189754164
MOTION016_right,514475.6346291395
MOTION017_left,386795.0470084531
MOTION017_right,401751.68148856616
MOTION018_left,442419.4572591647
MOTION018_right,481273.51966520975
MOTION019_left,539387.2522787469
MOTION019_right,496948.9165515266
MOTION020_left,446566.3848288897
MOTION020_right,427670.46766277374
MOTION021_left,731313.0541863564
MOTION021_right,579266.061865304
MOTION022_left,485785.0154481097
MOTION022_right,496018.81987332675
MOTION023_left,363342.29303930426
MOTION023_right,347482.642030135
MOTION024_left,509969.5303613556
MOTION024_right,549077.8394987324
MOTION025_left,386848.86149428395
MOTION025_right,382830.7459421674
MOTION026_left,503636.7208529844
MOTION026_right,477218.865140099
MOTION027_left,702684.7587611587
MOTION027_right,660449.2861856838
MOTION028_left,562128.5722650975
MOTION028_right,513841.64385157224
MOTION029_left,333429.58986595046
MOTION029_right,334195.98337581626
MOTION030_left,575011.8907708004
MOTION030_right,543109.7390436933
MOTION031_left,321248.1346238717
MOTION031_right,320911.8483125981
MOTION032_left,445989.5241885432
MOTION032_right,415534.6182439287
MOTION033_left,603158.3182916354
MOTION033_right,559999.9252002548
MOTION034_left,375373.21744125243
MOTION034_right,389831.76746371994
MOTION035_left,623747.0900307127
MOTION035_right,548146.4693721548
MOTION036_left,380134.9670809914
MOTION036_right,347531.92212254164
MOTION037_left,480346.08361134055
MOTION037_right,446721.29011082515
MOTION038_left,518926.75852770754
MOTION038_right,512028.1916586848
MOTION039_left,416636.65007054806
MOTION039_right,417773.0086675631
MOTION040_left,512630.58344583353
MOTION040_right,502959.88983125566
MOTION041_left,392387.49845986365
MOTION041_right,409516.96110115387
MOTION042_left,358768.1922916416
MOTION042_right,315745.2101076515
MOTION043_left,431862.6824553232
MOTION043_right,440763.57637002575
MOTION044_left,297767.90409389575
MOTION044_right,277305.25992409623
MOTION045_left,309834.6394921731
MOTION045_right,333774.3924941179
MOTION046_left,557825.261844155
MOTION046_right,594004.2854112281
MOTION047_left,328232.4722633385
MOTION047_right,294353.1861833888
MOTION048_left,654149.4054353425
MOTION048_right,615807.2248250418
MOTION049_left,535611.7769098574
MOTION049_right,512004.077214522
MOTION050_left,774782.8207968943
MOTION050_right,700991.9471084597
MOTION051_left,629832.1447377321
MOTION051_right,620979.2144421242
MOTION052_left,777409.078550267
