shape_name,original_volume_mm3
MOTION001_left,837959.9288637807
MOTION001_right,872405.0201338902
MOTION002_left,902096.2547091311
MOTION002_right,888555.254610139
MOTION003_left,454618.7669267959
MOTION003_right,496239.5204165068
MOTION004_left,776377.6263017476
MOTION004_right,713026.7162660413
MOTION005_left,337212.8080156423
MOTION005_right,288805.35433699546
MOTION006_left,724748.3690194649
MOTION006_right,713346.3308906235
MOTION007_left,704062.7046020547
MOTION007_right,740357.9699408398
MOTION008_left,776560.6160984674
MOTION008_right,732037.6179607166
MOTION009_left,669936.9951732894
MOTION009_right,675471.2683824588
MOTION010_left,423004.6670268637
MOTION010_right,455928.9266779039
MOTION011_left,643764.0721563933
MOTION011_right,626588.375085297
MOTION012_left,672153.1276450017
MOTION012_right,721051.9306184083
MOTION013_left,758990.2271061259
MOTION013_right,657395.7438034281
MOTION014_left,463557.94688325486
MOTION014_right,528794.2134436597
MOTION015_left,678321.4980367614
MOTION015_right,692956.1311996492
MOTION016_left,816356.998910359
MOTION016_right,807987.3903045355
MOTION017_left,583787.198659319
MOTION017_right,570569.375869354
MOTION018_left,525494.7497188472
MOTION018_right,592995.3922360545
MOTION019_left,585855.1606153548
MOTION019_right,536825.0946844487
MOTION020_left,574915.3493782347
MOTION020_right,572438.8956130802
MOTION021_left,957845.0817735406
MOTION021_right,897612.4385940902
MOTION022_left,615278.5226357788
MOTION022_right,633793.8495963477
MOTION023_left,532446.7646799617
MOTION023_right,548070.7400863543
MOTION024_left,705353.1211406011
MOTION024_right,731272.3553673364
MOTION025_left,526268.4193570412
MOTION025_right,516012.05884238594
MOTION026_left,587766.8821049671
MOTION026_right,592293.1418373124
MOTION027_left,976557.528683476
MOTION027_right,977408.3049670421
MOTION028_left,777601.3586204872
MOTION028_right,731687.9870139722
MOTION029_left,427384.41944830376
MOTION029_right,421567.519032221
MOTION030_left,772685.4707312466
MOTION030_right,758208.0455444315
MOTION031_left,376804.1299337482
MOTION031_right,370471.0585009375
MOTION032_left,584283.6217797436
MOTION032_right,563631.0140601301
MOTION033_left,865687.6938249063
MOTION033_right,888074.9016568451
MOTION034_left,496699.0388653634
MOTION034_right,483064.7516333927
MOTION035_left,565754.5248590144
MOTION035_right,569726.2776730588
MOTION036_left,441117.36571147264
MOTION036_right,427118.83995776955
MOTION037_left,485211.80248305947
MOTION037_right,498161.4828767066
MOTION038_left,661727.1573816532
MOTION038_right,680496.8573676221
MOTION039_left,522147.6412030261
MOTION039_right,559803.4815614498
MOTION040_left,773517.7497904105
MOTION040_right,764143.9827541005
MOTION041_left,524751.1556344384
MOTION041_right,590249.6637987067
MOTION042_left,508301.0548675428
MOTION042_right,479316.75207211106
MOTION043_left,595571.8324113925
MOTION043_right,622929.0499806987
MOTION044_left,513607.1164349884
MOTION044_right,496242.3161880124
MOTION045_left,450342.8395980567
MOTION045_right,444707.4523891085
MOTION046_left,725286.7482553022
MOTION046_right,755718.6153712344
MOTION047_left,479546.1290116627
MOTION047_right,494520.4445536951
MOTION048_left,738313.6660804764
MOTION048_right,767824.4239732173
MOTION049_left,811197.3035737498
MOTION049_right,755549.6709590321
MOTION050_left,943879.4050673327
MOTION050_right,945213.4735001414
MOTION051_left,740978.2955452455
MOTION051_right,758366.8671878357
MOTION052_left,871789.0979056478
MOTION052_right,837108.4669103915
MOTION053_left,558680.2975026878
MOTION053_right,526636.2113303562
MOTION054_left,876708.0804644432
MOTION054_right,880505.2609035462
MOTION055_left,630510.6915382663
MOTION055_right,599681.8210163837
MOTION056_left,867192.8783694641
MOTION056_right,854177.3472494764
MOTION057_left,408973.72642478213
MOTION057_right,413280.3299227557
MOTION058_left,415891.32521706674
MOTION058_right,406373.7772806061
MOTION059_left,763373.0985288173
MOTION059_right,803617.9295671514
MOTION060_left,634152.7736429129
MOTION060_right,676688.9790788413
