shape_name,original_volume_mm3
MOTION001_left,568809.3191284308
MOTION001_right,631584.4777785605
MOTION002_left,585099.9452810469
MOTION002_right,634268.4341438451
MOTION003_left,263301.9474259606
MOTION003_right,314996.24935230153
MOTION004_left,555878.5707318805
MOTION004_right,589221.8534004806
MOTION005_left,220388.8205259312
MOTION005_right,226747.6156795794
MOTION006_left,622188.9766268943
MOTION006_right,594361.7359565386
MOTION007_left,530196.5695527185
MOTION007_right,609849.0208068026
MOTION008_left,565242.9606818199
MOTION008_right,557824.896649648
MOTION009_left,443503.61057457916
MOTION009_right,469318.55954758235
MOTION010_left,300031.1903295393
MOTION010_right,338561.52554092975
MOTION011_left,578049.5569814047
MOTION011_right,563596.2303955848
MOTION012_left,433506.06111269473
MOTION012_right,470609.9244768869
MOTION013_left,465991.3675625192
MOTION013_right,479337.8980046816
MOTION014_left,371083.16804292024
MOTION014_right,425484.37900702463
MOTION015_left,509545.39516051137
MOTION015_right,528446.3654404789
MOTION016_left,588419.1194359874
MOTION016_right,608912.8575203613
MOTION017_left,411194.97166534764
MOTION017_right,444869.8758269225
MOTION018_left,433266.7576263601
MOTION018_right,478521.31262044044
MOTION019_left,446055.4924579567
MOTION019_right,455744.17407886055
MOTION020_left,480687.9411990868
MOTION020_right,492725.71980709274
MOTION021_left,621505.3326955235
MOTION021_right,649371.4311008985
MOTION022_left,466061.18543204176
MOTION022_right,520544.30622196366
MOTION023_left,411103.3900238346
MOTION023_right,418266.1057864411
MOTION024_left,601140.4670089892
MOTION024_right,654090.8979583534
MOTION025_left,359141.02814847365
MOTION025_right,407660.88948939944
MOTION026_left,489055.27627758164
MOTION026_right,502436.5013560757
MOTION027_left,691906.4649907176
MOTION027_right,663461.3765169705
MOTION028_left,508204.33040911163
MOTION028_right,533787.2701113062
MOTION029_left,302091.6779486244
MOTION029_right,321796.4259615035
MOTION030_left,488785.8522059017
MOTION030_right,547084.692533772
MOTION031_left,260720.6808367267
MOTION031_right,270788.0510353505
MOTION032_left,432790.0800362362
MOTION032_right,425158.5295516262
MOTION033_left,564162.1206029404
MOTION033_right,643136.4337420956
MOTION034_left,340508.5175133528
MOTION034_right,403256.4475578068
MOTION035_left,433911.2632967602
MOTION035_right,450978.1882182068
MOTION036_left,335467.02683896676
MOTION036_right,353020.76446776156
MOTION037_left,402314.2850712389
MOTION037_right,427015.6697186707
MOTION038_left,468724.4220276275
MOTION038_right,514243.77468245826
MOTION039_left,399660.2668172421
MOTION039_right,461302.9384115005
MOTION040_left,496692.0096788749
MOTION040_right,604934.8877264498
MOTION041_left,374968.39253824716
MOTION041_right,476382.1956240617
MOTION042_left,325247.06977483106
MOTION042_right,349775.4282843438
MOTION043_left,421842.6959804884
MOTION043_right,444350.54357942875
MOTION044_left,305953.751164582
MOTION044_right,311115.6799647351
MOTION045_left,342829.76169931144
MOTION045_right,350116.9956485938
MOTION046_left,462768.4820952629
MOTION046_right,538926.289465823
MOTION047_left,298846.2466886056
MOTION047_right,341374.84286566434
MOTION048_left,574344.6716838888
MOTION048_right,624272.5275344825
MOTION049_left,465118.51325050724
MOTION049_right,483161.0975177693
MOTION050_left,708369.3078597392
MOTION050_right,745434.3496126742
MOTION051_left,514773.6239034243
MOTION051_right,583536.6528307264
MOTION052_left,677762.1875650419
MOTION052_right,684624.6272998359
MOTION053_left,384028.8236682099
MOTION053_right,405820.77653832635
MOTION054_left,629860.5226519188
MOTION054_right,618009.7052662374
MOTION055_left,412250.47870999645
MOTION055_right,457782.32521077734
MOTION056_left,572532.069214131
MOTION056_right,595806.5695367423
MOTION057_left,336504.0626027893
MOTION057_right,333031.8881038863
MOTION058_left,351516.92593539663
MOTION058_right,396786.3770077584
MOTION059_left,493734.5348683314
MOTION059_right,524967.151175913
MOTION060_left,516606.0867416185
MOTION060_right,499583.0619610884
MOTION061_left,536195.1872169186
MOTION061_right,595648.1989532368
MOTION062_left,364466.9227057838
MOTION062_right,389637.19053973135
MOTION063_left,574639.3232314341
MOTION063_right,661224.2687399911
MOTION064_left,362277.9665561567
MOTION064_right,421375.49764950183
MOTION065_left,626321.000501403
MOTION065_right,694389.491471452
MOTION066_left,486325.02481610957
MOTION066_right,575649.1389718006
MOTION067_left,415240.86317587434
MOTION067_right,403105.5242517122
MOTION068_left,717236.3815960997
MOTION068_right,686352.9371279674
MOTION069_left,398557.4541044742
MOTION069_right,408669.8488120201
MOTION070_left,318917.7312475233
MOTION070_right,298668.3902025784
MOTION071_left,314184.24010200787
MOTION071_right,358685.1847679698
MOTION072_left,328662.57289322437
MOTION072_right,360861.3191899909
MOTION073_left,529452.9494244232
MOTION073_right,631409.1558163444
MOTION074_left,383327.8536760293
MOTION074_right,438250.05299156933
MOTION075_left,449065.8530959681
MOTION075_right,508464.67453475995
MOTION076_left,455067.9060515281
MOTION076_right,477776.29417232424
MOTION077_left,636138.1322480397
MOTION077_right,653738.0187003132
MOTION078_left,696719.4367274627
MOTION078_right,729385.7760833419
MOTION079_left,519966.4380380714
MOTION079_right,491045.5303993791
MOTION080_left,444953.8900016661
MOTION080_right,441246.56903272745
MOTION081_left,600259.2947543188
MOTION081_right,573055.0288664903
MOTION082_left,404214.5463057491
MOTION082_right,440925.0538060135
MOTION083_left,650776.6386477095
MOTION083_right,635940.7728857478
MOTION084_left,616546.1670654184
MOTION084_right,563895.3425618885
MOTION085_left,510020.9349826214
MOTION085_right,565881.6282540705
MOTION086_left,725188.1877270276
MOTION086_right,690484.2346186679
MOTION087_left,409666.8660548725
MOTION087_right,441871.3609607487
MOTION088_left,285434.29123232636
MOTION088_right,331729.93524576165
MOTION089_left,879197.397174205
MOTION089_right,886740.0072347159
MOTION090_left,442767.2433064946
MOTION090_right,518579.8509623806
MOTION091_left,339993.6400091335
MOTION091_right,378409.3148600242
MOTION092_left,503267.35430699046
MOTION092_right,560659.1061860375
MOTION093_left,487722.7989006342
MOTION093_right,482596.9272394013
MOTION094_left,472822.4172764817
MOTION094_right,474837.81296001264
MOTION095_left,506850.2452677174
MOTION095_right,536091.8619253831
MOTION096_left,578959.9770710884
MOTION096_right,629190.7344557197
MOTION097_left,469532.3646319173
MOTION097_right,523346.9805349183
MOTION098_left,398327.8278051198
MOTION098_right,374569.77003030916
MOTION099_left,577964.7398366329
MOTION099_right,615782.4737421174
MOTION100_left,306462.4852239353
MOTION100_right,380223.08977392426
MOTION101_left,504905.6122734654
MOTION101_right,581496.4831757465
